Calvin,78.589,13.576,22.959,0,19.116,22.938,0,0,0,0,0
Freeze,78.502,1.119,14.771,10.075,8.821,9.054,6.858,19.523,8.281,0,0
Korsan,77.681,0.0,11.17,5.542,5.811,0,15.001,4.647,11.454,7.249,16.807
Slice,73.091,5.239,28.263,9.915,20.243,1.391,3.624,0.271,0.089,4.038,0.018
Martinum,72.796,16.454,9.801,2.743,0.58,0,1.882,9.744,0.107,12.773,18.712
SlyPimp,71.567,14.903,5.346,0,0.003,0.0,4.072,1.68,15.702,3.179,26.682
Bobbo,69.595,0,0.048,1.419,19.671,13.075,3.173,14.092,8.187,9.93,0.0
Rompar,69.28,0.053,7.68,17.675,14.679,5.826,5.258,5.297,5.2,5.75,1.862
Muggistan,68.024,16.239,36.038,15.135,0,0.612,0,0,0,0,0
Ivetza,67.738,10.063,4.729,12.591,1.563,10.164,1.237,8.666,2.678,8.207,7.84
Gothia,67.197,6.549,8.667,5.161,4.179,5.698,3.557,4.777,2.713,3.66,22.236
Sly Delvecchio,67.122,0.0,4.375,9.092,2.127,12.198,6.628,17.013,0.0,3.07,12.619
Rush2008,66.889,0,0,7.136,32.696,0.037,9.33,0.604,2.203,2.397,12.486
JRog,65.147,27.934,0,0,34.716,0,0,0,0,0.005,2.492
Cobber,65.136,9.92,10.328,0,1.761,1.852,13.535,10.384,0,9.429,7.927
Rury,63.565,6.951,10.387,0.101,4.653,4.936,6.109,8.329,4.423,10.14,7.536
Jakool,63.344,0,0,1.141,0,0,10.732,0.568,4.657,41.025,5.221
Sizzler,62.114,0,0,0,0,0,0,7.978,12.292,18.198,23.646
jboy,61.555,3.749,8.339,1.73,1.712,7.77,3.325,10.969,6.271,10.658,7.032
Uruk Hai,61.45,5.371,3.439,4.198,11.51,9.387,9.289,10.911,0,5.463,1.882
MattyVanHalen,61.45,16.708,16.962,4.102,2.012,4.248,7.707,9.711,0,0,0
Peabrain,59.976,8.075,8.379,1.423,1.257,9.759,5.72,7.732,17.631,0,0
mcgeeal,59.495,30.343,16.971,12.181,0,0,0,0,0,0,0
Phoenix,59.104,8.935,13.332,8.838,7.706,17.076,3.217,0,0,0,0
Larso,59.07,8.634,0,0.556,6.411,3.991,12.134,4.616,4.233,6.348,12.147
