exrio,204.542,6.819,9.029,11.357,24.885,31.732,19.267,21.847,0.745,3.255,0.975,14.306,21.655,6.834,5.061,18.953,7.822
mris,203.266,1.809,23.699,1.776,12.134,34.712,8.376,16.217,1.927,14.542,9.956,8.743,55.049,2.726,6.449,5.151,0
Almezo,198.779,0,5.862,13.011,12.585,21.211,17.723,8.79,7.806,29.0,22.865,7.316,26.352,5.884,7.421,7.91,5.043
Guydoonster,195.744,6.508,15.933,13.817,18.794,32.479,16.385,12.923,5.817,15.893,20.006,9.915,12.996,12.819,1.459,0,0
jmerc13,192.626,25.104,6.188,20.878,26.321,10.465,16.033,12.298,2.574,13.418,20.906,0.65,0.969,25.229,0.003,2.508,9.082
Nate,189.056,0,0,0.008,15.969,3.003,15.753,0.032,19.191,19.223,12.581,8.73,54.093,7.281,23.74,3.989,5.463
Cents321,185.921,19.589,15.752,3.73,27.199,25.94,3.48,4.051,14.707,2.897,24.732,6.847,20.468,0.025,2.775,7.578,6.151
TerryPie,185.531,16.925,14.718,5.44,6.806,1.034,36.293,28.479,1.16,0.696,29.428,0,0.108,41.028,1.424,0.068,1.924
playt0i,180.723,24.052,6.372,9.643,14.557,12.144,29.804,12.408,19.028,1.013,2.769,5.216,7.104,12.355,5.656,0.942,17.66
Shaidar,175.167,21.668,22.206,7.007,31.067,9.882,13.659,5.47,3.432,10.198,5.499,12.674,6.807,9.02,12.845,3.733,0
cerbrus87,173.692,13.274,12.058,22.366,13.633,9.222,13.601,22.445,15.035,5.27,13.023,8.994,7.371,11.225,6.175,0,0
Zedijar,164.304,18.745,23.718,11.671,21.93,3.594,9.48,2.302,2.726,8.356,6.574,7.89,4.346,17.426,7.434,4.104,14.008
Jcinnz,164.244,28.239,9.851,3.66,7.512,8.355,13.756,6.693,8.001,15.954,0.401,3.801,28.018,1.372,21.279,5.582,1.77
OMGnoob,161.238,0,5.748,8.046,24.587,16.723,12.831,8.413,3.998,10.126,21.594,13.15,14.017,11.618,5.302,5.075,0.01
nurtho,160.939,6.434,8.286,6.09,1.042,7.694,12.429,7.886,10.789,36.783,10.216,3.81,11.954,7.582,3.898,11.14,14.906
Puntti,159.255,20.97,3.658,5.905,4.633,3.091,14.09,10.198,7.594,27.017,10.335,5.512,13.733,7.545,3.88,6.259,14.835
lamb,156.113,17.215,0,7.25,14.204,6.417,10.786,2.432,12.245,5.862,5.963,7.615,20.45,11.989,14.448,9.344,9.893
Dark towers,154.107,48.05,10.051,8.932,15.691,28.027,5.521,7.439,5.95,8.939,14.871,0.636,0,0,0,0,0
InternetFett,153.097,22.401,13.869,0.012,16.128,0.486,5.442,2.511,12.718,7.801,11.589,0.673,9.297,13.334,3.458,1.237,32.141
McDaginald,153.096,0,0,0,0,0,0,0,0,0,0,15.21,16.123,26.317,18.648,40.941,35.857
Wurstmeyer,152.336,10.068,4.637,7.482,19.124,7.423,10.398,22.161,11.632,12.93,9.762,16.393,0,11.164,3.652,3.297,2.213
Thors Bjørn,150.806,0,0,17.668,12.826,20.308,19.681,35.824,36.074,8.425,0,0,0,0,0,0,0
BigBell,147.319,4.369,6.635,3.984,6.664,1.057,18.25,16.298,0.014,6.938,25.155,3.76,25.584,1.873,14.143,9.867,2.728
MannoWrath,146.537,30.14,38.529,2.489,9.738,13.666,12.258,6.915,26.77,6.032,0,0,0,0,0,0,0
Faith,141.53,20.86,0,14.561,0,15.051,0,0,15.634,12.797,17.116,0,0,0,0,37.042,8.469
AlexJones,140.07,0,0,13.608,8.904,27.209,32.809,20.442,3.117,28.026,5.955,0,0,0,0,0,0
Beautiful Disaster,139.972,21.822,9.151,3.912,12.827,6.852,4.659,19.368,7.656,3.868,10.399,11.555,8.409,13.035,3.718,2.741,0
Empoy,138.089,1.205,26.06,9.221,9.874,15.889,6.071,5.296,8.392,7.12,9.201,6.587,13.244,11.904,8.025,0,0
